03-12-16:58:17 0.1
03-12-16:58:22 0.1
03-12-16:58:27 0.1
03-12-16:58:32 0.1
03-12-16:58:37 0.0
03-12-16:58:42 0.1
03-12-16:58:48 0.0
03-12-16:58:53 0.0
03-12-16:58:58 0.0
03-12-16:59:03 0.0
03-12-16:59:08 0.0
03-12-16:59:13 0.0
03-12-16:59:18 0.0
03-12-16:59:23 0.0
03-12-16:59:28 0.0
03-12-16:59:33 0.0
03-12-16:59:38 0.0
03-12-16:59:43 0.0
03-12-16:59:48 0.0
03-12-16:59:53 0.0
03-12-16:59:58 0.0
03-12-17:00:04 0.0
03-12-17:00:09 0.0
03-12-17:00:14 0.0
03-12-17:00:19 0.0
03-12-17:00:24 0.0
03-12-17:00:29 0.0
03-12-17:00:34 0.0
03-12-17:00:39 0.0
03-12-17:00:44 0.0
03-12-17:00:49 0.0
03-12-17:00:54 0.0
03-12-17:00:59 0.0
03-12-17:01:04 0.0
03-12-17:01:09 0.0
03-12-17:01:15 0.0
03-12-17:01:20 0.0
03-12-17:01:25 0.0
03-12-17:01:30 0.0
03-12-17:01:35 0.0
03-12-17:01:40 0.0
03-12-17:01:45 0.0
03-12-17:01:50 0.0
03-12-17:01:55 0.0
03-12-17:02:00 0.0
03-12-17:02:05 0.0
03-12-17:02:10 0.0
03-12-17:02:15 0.0
03-12-17:02:20 0.0
03-12-17:02:25 0.0
03-12-17:02:31 0.0
03-12-17:02:36 0.0
03-12-17:02:41 0.0
03-12-17:02:46 0.0
03-12-17:02:51 0.0
03-12-17:02:56 0.0
03-12-17:03:01 0.0
03-12-17:03:06 0.0
03-12-17:03:11 0.0
03-12-17:03:16 0.0
03-12-17:03:21 0.0
03-12-17:03:26 0.0
03-12-17:03:31 0.0
03-12-17:03:36 0.0
03-12-17:03:41 0.0
03-12-17:03:47 0.0
03-12-17:03:52 0.0
03-12-17:03:57 0.0
03-12-17:04:02 0.0
03-12-17:04:07 0.0
03-12-17:04:12 0.0
03-12-17:04:17 0.0
03-12-17:04:22 0.0
03-12-17:04:27 0.0
03-12-17:04:32 0.0
03-12-17:04:37 0.0
03-12-17:04:42 0.0
03-12-17:04:47 0.0
03-12-17:04:52 0.0
03-12-17:04:57 0.0
03-12-17:05:03 0.0
03-12-17:05:08 0.0
03-12-17:05:13 0.0
03-12-17:05:18 0.0
