03-12-16:58:17 89.55
03-12-16:58:22 89.52
03-12-16:58:27 89.50
03-12-16:58:32 89.47
03-12-16:58:37 89.45
03-12-16:58:42 89.42
03-12-16:58:48 89.40
03-12-16:58:53 89.37
03-12-16:58:58 89.36
03-12-16:59:03 89.32
03-12-16:59:08 89.30
03-12-16:59:13 89.29
03-12-16:59:18 89.26
03-12-16:59:23 89.23
03-12-16:59:28 89.21
03-12-16:59:33 89.18
03-12-16:59:38 89.16
03-12-16:59:43 89.13
03-12-16:59:48 89.12
03-12-16:59:53 89.09
03-12-16:59:58 89.07
03-12-17:00:04 89.04
03-12-17:00:09 89.02
03-12-17:00:14 88.99
03-12-17:00:19 88.97
03-12-17:00:24 88.95
03-12-17:00:29 88.93
03-12-17:00:34 88.91
03-12-17:00:39 88.88
03-12-17:00:44 88.85
03-12-17:00:49 88.83
03-12-17:00:54 88.81
03-12-17:00:59 88.79
03-12-17:01:04 88.77
03-12-17:01:09 88.74
03-12-17:01:15 88.73
03-12-17:01:20 88.70
03-12-17:01:25 88.68
03-12-17:01:30 88.66
03-12-17:01:35 88.63
03-12-17:01:40 88.61
03-12-17:01:45 88.59
03-12-17:01:50 88.57
03-12-17:01:55 88.54
03-12-17:02:00 88.53
03-12-17:02:05 88.50
03-12-17:02:10 88.48
03-12-17:02:15 88.46
03-12-17:02:20 88.44
03-12-17:02:25 88.41
03-12-17:02:31 88.39
03-12-17:02:36 88.37
03-12-17:02:41 88.35
03-12-17:02:46 88.33
03-12-17:02:51 88.31
03-12-17:02:56 88.29
03-12-17:03:01 88.26
03-12-17:03:06 88.24
03-12-17:03:11 88.22
03-12-17:03:16 88.20
03-12-17:03:21 88.19
03-12-17:03:26 88.17
03-12-17:03:31 88.14
03-12-17:03:36 88.12
03-12-17:03:41 88.10
03-12-17:03:47 88.08
03-12-17:03:52 88.06
03-12-17:03:57 88.04
03-12-17:04:02 88.02
03-12-17:04:07 88.00
03-12-17:04:12 87.98
03-12-17:04:17 87.96
03-12-17:04:22 87.94
03-12-17:04:27 87.91
03-12-17:04:32 87.90
03-12-17:04:37 87.88
03-12-17:04:42 87.86
03-12-17:04:47 87.84
03-12-17:04:52 87.82
03-12-17:04:57 87.80
03-12-17:05:03 87.78
03-12-17:05:08 87.77
03-12-17:05:13 87.74
03-12-17:05:18 87.73
03-12-17:05:23 87.70
03-12-17:05:28 87.69
03-12-17:05:33 87.67
03-12-17:05:38 87.65
03-12-17:05:43 87.63
03-12-17:05:48 87.61
03-12-17:05:53 87.59
03-12-17:05:58 87.57
03-12-17:06:03 87.55
03-12-17:06:08 87.53
03-12-17:06:13 87.51
03-12-17:06:18 87.50
03-12-17:06:24 87.48
03-12-17:06:29 87.46
03-12-17:06:34 87.44
03-12-17:06:39 87.42
03-12-17:06:44 87.40
03-12-17:06:49 87.39
03-12-17:06:54 87.37
03-12-17:06:59 87.35
03-12-17:07:04 87.33
03-12-17:07:09 87.31
03-12-17:07:14 87.30
03-12-17:07:19 87.28
03-12-17:07:24 87.26
03-12-17:07:29 87.24
03-12-17:07:34 87.23
03-12-17:07:40 87.21
03-12-17:07:45 87.19
03-12-17:07:50 87.17
03-12-17:07:55 87.15
03-12-17:08:00 87.14
03-12-17:08:05 87.12
03-12-17:08:10 87.10
03-12-17:08:15 87.08
03-12-17:08:20 87.07
03-12-17:08:25 87.05
03-12-17:08:30 87.04
03-12-17:08:35 87.02
03-12-17:08:40 87.00
03-12-17:08:45 86.98
03-12-17:08:50 86.97
03-12-17:08:56 86.95
03-12-17:09:01 86.93
03-12-17:09:06 86.92
03-12-17:09:11 86.90
03-12-17:09:16 86.88
03-12-17:09:21 86.86
03-12-17:09:26 86.85
03-12-17:09:31 86.83
03-12-17:09:36 86.82
03-12-17:09:41 86.80
03-12-17:09:46 86.78
03-12-17:09:51 86.77
03-12-17:09:56 86.75
03-12-17:10:01 86.73
03-12-17:10:06 86.72
03-12-17:10:11 86.70
03-12-17:10:17 86.69
03-12-17:10:22 86.67
03-12-17:10:27 86.65
03-12-17:10:32 86.63
03-12-17:10:37 86.62
03-12-17:10:42 86.60
03-12-17:10:47 86.58
03-12-17:10:52 86.57
03-12-17:10:57 86.55
03-12-17:11:02 86.54
03-12-17:11:07 86.52
03-12-17:11:12 86.50
03-12-17:11:17 86.49
03-12-17:11:22 86.47
03-12-17:11:27 86.45
03-12-17:11:33 86.44
03-12-17:11:38 86.42
03-12-17:11:43 86.41
03-12-17:11:48 86.39
03-12-17:11:53 86.38
03-12-17:11:58 86.36
03-12-17:12:03 86.35
03-12-17:12:08 86.33
03-12-17:12:13 86.32
03-12-17:12:18 86.30
03-12-17:12:23 86.29
03-12-17:12:28 86.28
03-12-17:12:33 86.26
03-12-17:12:38 86.24
03-12-17:12:44 86.22
03-12-17:12:49 86.21
03-12-17:12:54 86.19
03-12-17:12:59 86.18
03-12-17:13:04 86.17
03-12-17:13:09 86.15
03-12-17:13:14 86.13
03-12-17:13:19 86.12
03-12-17:13:24 86.11
03-12-17:13:29 86.09
03-12-17:13:34 86.07
03-12-17:13:39 86.06
03-12-17:13:44 86.05
03-12-17:13:49 86.03
03-12-17:13:54 86.02
03-12-17:13:59 86.00
03-12-17:14:05 85.99
03-12-17:14:10 85.97
03-12-17:14:15 85.96
03-12-17:14:20 85.95
03-12-17:14:25 85.93
03-12-17:14:30 85.92
03-12-17:14:35 85.90
03-12-17:14:40 85.89
03-12-17:14:45 85.88
03-12-17:14:50 85.86
03-12-17:14:55 85.85
03-12-17:15:00 85.83
03-12-17:15:05 85.82
03-12-17:15:10 85.81
03-12-17:15:15 85.79
03-12-17:15:21 85.77
03-12-17:15:26 85.76
03-12-17:15:31 85.75
03-12-17:15:36 85.73
03-12-17:15:41 85.72
03-12-17:15:46 85.71
03-12-17:15:51 85.70
03-12-17:15:56 85.68
03-12-17:16:01 85.67
03-12-17:16:06 85.65
03-12-17:16:11 85.64
03-12-17:16:16 85.62
03-12-17:16:21 85.61
03-12-17:16:26 85.60
03-12-17:16:31 85.59
03-12-17:16:36 85.57
03-12-17:16:42 85.56
03-12-17:16:47 85.55
03-12-17:16:52 85.53
03-12-17:16:57 85.52
03-12-17:17:02 85.51
03-12-17:17:07 85.49
03-12-17:17:12 85.48
03-12-17:17:17 85.47
03-12-17:17:22 85.45
03-12-17:17:27 85.44
03-12-17:17:32 85.42
03-12-17:17:37 85.41
03-12-17:17:42 85.40
03-12-17:17:47 85.39
03-12-17:17:52 85.37
03-12-17:17:58 85.36
03-12-17:18:03 85.35
03-12-17:18:08 85.33
03-12-17:18:13 85.32
03-12-17:18:18 85.31
03-12-17:18:23 85.30
03-12-17:18:28 85.28
03-12-17:18:33 85.27
03-12-17:18:38 85.26
03-12-17:18:43 85.25
03-12-17:18:48 85.23
03-12-17:18:53 85.22
03-12-17:18:58 85.21
03-12-17:19:03 85.20
03-12-17:19:08 85.18
03-12-17:19:13 85.17
03-12-17:19:18 85.16
03-12-17:19:24 85.15
03-12-17:19:29 85.13
03-12-17:19:34 85.12
03-12-17:19:39 85.11
03-12-17:19:44 85.10
03-12-17:19:49 85.08
03-12-17:19:54 85.07
03-12-17:19:59 85.06
03-12-17:20:04 85.04
03-12-17:20:09 85.04
03-12-17:20:14 85.02
03-12-17:20:19 85.01
03-12-17:20:24 85.00
03-12-17:20:29 84.99
03-12-17:20:34 84.97
03-12-17:20:40 84.96
03-12-17:20:45 84.95
03-12-17:20:50 84.94
03-12-17:20:55 84.92
03-12-17:21:00 84.91
03-12-17:21:05 84.90
03-12-17:21:10 84.89
03-12-17:21:15 84.87
03-12-17:21:20 84.87
03-12-17:21:25 84.85
03-12-17:21:30 84.84
03-12-17:21:35 84.84
03-12-17:21:40 84.82
03-12-17:21:45 84.81
03-12-17:21:50 84.80
03-12-17:21:56 84.79
03-12-17:22:01 84.77
03-12-17:22:06 84.76
03-12-17:22:11 84.75
03-12-17:22:16 84.74
03-12-17:22:21 84.73
03-12-17:22:26 84.71
03-12-17:22:31 84.70
03-12-17:22:36 84.69
03-12-17:22:41 84.68
03-12-17:22:46 84.67
03-12-17:22:51 84.66
03-12-17:22:56 84.64
03-12-17:23:01 84.64
03-12-17:23:06 84.63
03-12-17:23:11 84.61
03-12-17:23:17 84.61
03-12-17:23:22 84.59
03-12-17:23:27 84.58
03-12-17:23:32 84.57
03-12-17:23:37 84.56
03-12-17:23:42 84.55
03-12-17:23:47 84.53
03-12-17:23:52 84.52
03-12-17:23:57 84.51
03-12-17:24:02 84.50
03-12-17:24:07 84.49
03-12-17:24:12 84.48
03-12-17:24:17 84.47
03-12-17:24:22 84.46
03-12-17:24:27 84.44
03-12-17:24:33 84.44
03-12-17:24:38 84.43
03-12-17:24:43 84.42
03-12-17:24:48 84.40
03-12-17:24:53 84.39
03-12-17:24:58 84.38
03-12-17:25:03 84.37
03-12-17:25:08 84.36
03-12-17:25:13 84.35
03-12-17:25:18 84.34
03-12-17:25:23 84.33
03-12-17:25:28 84.32
03-12-17:25:33 84.31
03-12-17:25:38 84.30
03-12-17:25:43 84.28
03-12-17:25:48 84.28
03-12-17:25:54 84.26
03-12-17:25:59 84.25
03-12-17:26:04 84.24
03-12-17:26:09 84.23
03-12-17:26:14 84.22
03-12-17:26:19 84.21
03-12-17:26:24 84.20
03-12-17:26:29 84.19
03-12-17:26:34 84.18
03-12-17:26:39 84.17
03-12-17:26:44 84.16
03-12-17:26:49 84.15
03-12-17:26:54 84.14
03-12-17:26:59 84.13
03-12-17:27:04 84.12
03-12-17:27:10 84.11
03-12-17:27:15 84.10
03-12-17:27:20 84.09
03-12-17:27:25 84.08
03-12-17:27:30 84.07
03-12-17:27:35 84.06
03-12-17:27:40 84.05
03-12-17:27:45 84.04
03-12-17:27:50 84.03
03-12-17:27:55 84.02
03-12-17:28:00 84.01
03-12-17:28:05 84.00
03-12-17:28:10 83.99
03-12-17:28:15 83.98
03-12-17:28:20 83.97
03-12-17:28:25 83.96
03-12-17:28:31 83.95
03-12-17:28:36 83.94
03-12-17:28:41 83.93
03-12-17:28:46 83.92
03-12-17:28:51 83.91
03-12-17:28:56 83.90
03-12-17:29:01 83.89
03-12-17:29:06 83.88
03-12-17:29:11 83.87
03-12-17:29:16 83.86
03-12-17:29:21 83.85
03-12-17:29:26 83.84
03-12-17:29:31 83.83
03-12-17:29:36 83.82
03-12-17:29:42 83.81
03-12-17:29:47 83.80
03-12-17:29:52 83.79
03-12-17:29:57 83.79
03-12-17:30:02 83.77
03-12-17:30:07 83.77
03-12-17:30:12 83.76
03-12-17:30:17 83.75
03-12-17:30:22 83.74
03-12-17:30:27 83.73
03-12-17:30:32 83.72
03-12-17:30:37 83.71
03-12-17:30:42 83.70
03-12-17:30:47 83.70
03-12-17:30:52 83.68
03-12-17:30:57 83.67
03-12-17:31:02 83.66
03-12-17:31:08 83.65
03-12-17:31:13 83.65
03-12-17:31:18 83.64
03-12-17:31:23 83.63
03-12-17:31:28 83.62
03-12-17:31:33 83.61
03-12-17:31:38 83.60
03-12-17:31:43 83.59
03-12-17:31:48 83.58
03-12-17:31:53 83.57
03-12-17:31:58 83.56
03-12-17:32:03 83.55
03-12-17:32:08 83.55
03-12-17:32:13 83.54
03-12-17:32:18 83.53
03-12-17:32:24 83.52
03-12-17:32:29 83.52
03-12-17:32:34 83.50
03-12-17:32:39 83.50
03-12-17:32:44 83.49
03-12-17:32:49 83.47
03-12-17:32:54 83.47
03-12-17:32:59 83.46
03-12-17:33:04 83.45
03-12-17:33:09 83.44
03-12-17:33:14 83.43
03-12-17:33:19 83.42
03-12-17:33:24 83.42
03-12-17:33:29 83.41
03-12-17:33:34 83.39
03-12-17:33:39 83.39
03-12-17:33:45 83.38
03-12-17:33:50 83.37
03-12-17:33:55 83.36
03-12-17:34:00 83.35
03-12-17:34:05 83.34
03-12-17:34:10 83.34
03-12-17:34:15 83.33
03-12-17:34:20 83.32
03-12-17:34:25 83.31
03-12-17:34:30 83.30
03-12-17:34:35 83.29
03-12-17:34:40 83.28
03-12-17:34:45 83.28
03-12-17:34:50 83.27
03-12-17:34:55 83.26
03-12-17:35:00 83.25
03-12-17:35:06 83.24
03-12-17:35:11 83.23
03-12-17:35:16 83.22
03-12-17:35:21 83.22
03-12-17:35:26 83.21
03-12-17:35:31 83.20
03-12-17:35:36 83.19
03-12-17:35:41 83.18
03-12-17:35:46 83.17
03-12-17:35:51 83.17
03-12-17:35:56 83.16
03-12-17:36:01 83.15
03-12-17:36:06 83.15
03-12-17:36:11 83.14
03-12-17:36:16 83.13
03-12-17:36:22 83.12
03-12-17:36:27 83.11
03-12-17:36:32 83.10
03-12-17:36:37 83.10
03-12-17:36:42 83.09
03-12-17:36:47 83.08
03-12-17:36:52 83.07
03-12-17:36:57 83.06
03-12-17:37:02 83.06
03-12-17:37:07 83.05
03-12-17:37:12 83.04
03-12-17:37:17 83.03
03-12-17:37:22 83.02
03-12-17:37:27 83.02
03-12-17:37:32 83.01
03-12-17:37:37 83.00
03-12-17:37:42 82.99
03-12-17:37:48 82.99
03-12-17:37:53 82.97
03-12-17:37:58 82.97
03-12-17:38:03 82.96
03-12-17:38:08 82.95
03-12-17:38:13 82.95
03-12-17:38:18 82.94
03-12-17:38:23 82.93
03-12-17:38:28 82.92
03-12-17:38:33 82.91
03-12-17:38:38 82.90
03-12-17:38:43 82.90
03-12-17:38:48 82.89
03-12-17:38:53 82.88
03-12-17:38:59 82.87
03-12-17:39:04 82.87
03-12-17:39:09 82.86
03-12-17:39:14 82.85
03-12-17:39:19 82.84
03-12-17:39:24 82.84
03-12-17:39:29 82.83
03-12-17:39:34 82.82
03-12-17:39:39 82.81
03-12-17:39:44 82.80
03-12-17:39:49 82.80
03-12-17:39:54 82.79
03-12-17:39:59 82.79
03-12-17:40:04 82.78
03-12-17:40:09 82.77
03-12-17:40:14 82.76
03-12-17:40:20 82.76
03-12-17:40:25 82.75
03-12-17:40:30 82.75
03-12-17:40:35 82.73
03-12-17:40:40 82.73
03-12-17:40:45 82.72
03-12-17:40:50 82.71
03-12-17:40:55 82.71
03-12-17:41:00 82.70
03-12-17:41:05 82.69
03-12-17:41:10 82.69
03-12-17:41:15 82.68
03-12-17:41:20 82.67
03-12-17:41:25 82.67
03-12-17:41:30 82.66
03-12-17:41:36 82.65
03-12-17:41:41 82.64
03-12-17:41:46 82.64
03-12-17:41:51 82.63
03-12-17:41:56 82.62
03-12-17:42:01 82.61
03-12-17:42:06 82.61
03-12-17:42:11 82.60
03-12-17:42:16 82.59
03-12-17:42:21 82.58
03-12-17:42:26 82.58
03-12-17:42:31 82.57
03-12-17:42:36 82.56
03-12-17:42:41 82.55
03-12-17:42:46 82.55
03-12-17:42:52 82.54
03-12-17:42:57 82.53
03-12-17:43:02 82.53
03-12-17:43:07 82.52
03-12-17:43:12 82.51
03-12-17:43:17 82.51
03-12-17:43:22 82.50
03-12-17:43:27 82.49
03-12-17:43:32 82.48
03-12-17:43:37 82.48
03-12-17:43:42 82.47
03-12-17:43:47 82.46
03-12-17:43:52 82.46
03-12-17:43:57 82.45
03-12-17:44:03 82.44
03-12-17:44:08 82.44
03-12-17:44:13 82.43
03-12-17:44:18 82.42
03-12-17:44:23 82.41
03-12-17:44:28 82.41
03-12-17:44:33 82.40
03-12-17:44:38 82.40
03-12-17:44:43 82.39
03-12-17:44:48 82.38
03-12-17:44:53 82.37
03-12-17:44:58 82.37
03-12-17:45:03 82.36
03-12-17:45:08 82.35
03-12-17:45:13 82.35
03-12-17:45:18 82.34
03-12-17:45:23 82.33
03-12-17:45:29 82.32
03-12-17:45:34 82.32
03-12-17:45:39 82.32
03-12-17:45:44 82.30
03-12-17:45:49 82.29
03-12-17:45:54 82.29
03-12-17:45:59 82.28
03-12-17:46:04 82.28
03-12-17:46:09 82.27
03-12-17:46:14 82.26
03-12-17:46:19 82.25
03-12-17:46:24 82.25
03-12-17:46:29 82.24
03-12-17:46:34 82.23
03-12-17:46:40 82.23
03-12-17:46:45 82.22
03-12-17:46:50 82.21
03-12-17:46:55 82.21
03-12-17:47:00 82.20
03-12-17:47:05 82.19
03-12-17:47:10 82.19
03-12-17:47:15 82.18
03-12-17:47:20 82.18
03-12-17:47:25 82.17
03-12-17:47:30 82.17
03-12-17:47:35 82.16
03-12-17:47:40 82.15
03-12-17:47:45 82.15
03-12-17:47:50 82.14
03-12-17:47:55 82.14
03-12-17:48:00 82.13
03-12-17:48:06 82.12
03-12-17:48:11 82.12
03-12-17:48:16 82.11
03-12-17:48:21 82.10
03-12-17:48:26 82.09
03-12-17:48:31 82.09
03-12-17:48:36 82.08
03-12-17:48:41 82.08
03-12-17:48:46 82.07
03-12-17:48:51 82.06
03-12-17:48:56 82.06
03-12-17:49:01 82.05
03-12-17:49:06 82.05
